session_date,entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl,level_date,cum_pnl
2022-11-24,2022-11-24 09:42:00-05:00,2022-11-24 12:59:00-05:00,short,11911.900365803349,11910.75,cutoff,1.15,2022-11-11,-5231.61
2022-11-25,2022-11-25 09:31:00-05:00,2022-11-25 11:28:00-05:00,long,11787.196029486602,11787.196029486602,BE,0.0,2022-11-24,-5231.61
2022-11-29,2022-11-29 09:35:00-05:00,2022-11-29 10:55:00-05:00,long,11592.448534422849,11592.448534422849,BE,0.0,2022-11-16,-5231.61
2022-11-30,2022-11-30 09:31:00-05:00,2022-11-30 10:45:00-05:00,long,11531.556497706162,11531.556497706162,BE,0.0,2022-11-28,-5231.61
2022-12-01,2022-12-01 09:31:00-05:00,2022-12-01 10:53:00-05:00,short,12047.663495039484,12047.663495039484,BE,0.0,2022-11-18,-5231.61
2022-12-01,2022-12-01 10:56:00-05:00,2022-12-01 15:00:00-05:00,short,12035.428970513398,12083.0,cutoff,-47.57,2022-11-24,-5279.18
2022-12-02,2022-12-02 09:33:00-05:00,2022-12-02 15:00:00-05:00,short,11911.900365803349,11988.5,cutoff,-76.6,2022-11-11,-5355.78
2022-12-05,2022-12-05 09:35:00-05:00,2022-12-05 15:00:00-05:00,short,11951.589013564688,11768.0,cutoff,183.59,2022-11-25,-5172.19
2022-12-06,2022-12-06 09:31:00-05:00,2022-12-06 09:57:00-05:00,long,11787.196029486602,11677.196029486602,SL,-110.0,2022-11-24,-5282.19
2022-12-07,2022-12-07 09:35:00-05:00,2022-12-07 15:00:00-05:00,long,11549.211504960516,11500.5,cutoff,-48.71,2022-11-18,-5330.9
2022-12-08,2022-12-08 09:31:00-05:00,2022-12-08 15:00:00-05:00,long,11555.739174620234,11626.5,cutoff,70.76,2022-11-14,-5260.14
2022-12-09,2022-12-09 09:31:00-05:00,2022-12-09 15:00:00-05:00,long,11592.448534422849,11658.0,cutoff,65.55,2022-11-16,-5194.59
2022-12-12,2022-12-12 09:32:00-05:00,2022-12-12 10:28:00-05:00,short,11702.160192032788,11702.160192032788,BE,0.0,2022-11-30,-5194.59
2022-12-12,2022-12-12 10:30:00-05:00,2022-12-12 15:00:00-05:00,long,11677.698355199149,11761.75,cutoff,84.05,2022-12-02,-5110.54
2022-12-13,2022-12-13 10:32:00-05:00,2022-12-13 12:19:00-05:00,short,12101.919002100312,11899.0,TP,202.92,2022-12-05,-4907.62
2022-12-14,2022-12-14 09:31:00-05:00,2022-12-14 11:42:00-05:00,short,11951.589013564688,12061.589013564688,SL,-110.0,2022-11-25,-5017.62
2022-12-15,2022-12-15 09:31:00-05:00,2022-12-15 11:18:00-05:00,short,11702.160192032788,11485.75,TP,216.41,2022-11-30,-4801.21
2022-12-16,2022-12-16 09:33:00-05:00,2022-12-16 10:33:00-05:00,long,11443.71813437147,11333.71813437147,SL,-110.0,2022-11-21,-4911.21
2022-12-19,2022-12-19 09:32:00-05:00,2022-12-19 11:33:00-05:00,long,11315.876460299049,11205.876460299049,SL,-110.0,2022-12-08,-5021.21
2022-12-20,2022-12-20 09:32:00-05:00,2022-12-20 11:17:00-05:00,long,11121.328961004048,11121.328961004048,BE,0.0,2022-12-19,-5021.21
2022-12-21,2022-12-21 09:32:00-05:00,2022-12-21 15:00:00-05:00,long,11199.22694931163,11340.75,cutoff,141.52,2022-12-16,-4879.69
2022-12-22,2022-12-22 09:39:00-05:00,2022-12-22 10:30:00-05:00,long,11121.328961004048,11011.328961004048,SL,-110.0,2022-12-19,-4989.69
2022-12-23,2022-12-23 09:33:00-05:00,2022-12-23 09:36:00-05:00,long,11036.300929721321,10926.300929721321,SL,-110.0,2022-12-21,-5099.69
2022-12-27,2022-12-27 09:45:00-05:00,2022-12-27 13:56:00-05:00,long,10915.475907871558,10915.475907871558,BE,0.0,2022-12-20,-5099.69
2022-12-28,2022-12-28 10:26:00-05:00,2022-12-28 11:17:00-05:00,long,10915.475907871558,10805.475907871558,SL,-110.0,2022-12-20,-5209.69
2022-12-29,2022-12-29 09:36:00-05:00,2022-12-29 15:00:00-05:00,long,10906.194220248482,11030.25,cutoff,124.06,2022-12-22,-5085.63
2022-12-30,2022-12-30 09:31:00-05:00,2022-12-30 15:00:00-05:00,long,10915.475907871558,10904.75,cutoff,-10.73,2022-12-20,-5096.36
2023-01-03,2023-01-03 09:33:00-05:00,2023-01-03 10:30:00-05:00,short,11119.219818904501,10936.0,TP,183.22,2022-12-28,-4913.14
2023-01-03,2023-01-03 10:31:00-05:00,2023-01-03 15:00:00-05:00,long,10915.475907871558,10938.0,cutoff,22.52,2022-12-20,-4890.62
2023-01-04,2023-01-04 09:42:00-05:00,2023-01-04 10:00:00-05:00,long,11036.300929721321,10926.300929721321,SL,-110.0,2022-12-21,-5000.62
2023-01-05,2023-01-05 09:31:00-05:00,2023-01-05 15:00:00-05:00,long,10906.194220248482,10878.5,cutoff,-27.69,2022-12-22,-5028.31
2023-01-06,2023-01-06 09:36:00-05:00,2023-01-06 09:43:00-05:00,long,10915.475907871558,10805.475907871558,SL,-110.0,2022-12-20,-5138.31
2023-01-09,2023-01-09 09:31:00-05:00,2023-01-09 10:36:00-05:00,short,11232.564966598495,11342.564966598495,SL,-110.0,2022-12-27,-5248.31
2023-01-10,2023-01-10 09:33:00-05:00,2023-01-10 10:29:00-05:00,long,11199.22694931163,11199.22694931163,BE,0.0,2022-12-16,-5248.31
2023-01-10,2023-01-10 10:45:00-05:00,2023-01-10 15:00:00-05:00,long,11121.328961004048,11249.25,cutoff,127.92,2022-12-19,-5120.39
2023-01-11,2023-01-11 10:10:00-05:00,2023-01-11 11:15:00-05:00,short,11365.024092128442,11365.024092128442,BE,0.0,2022-12-20,-5120.39
2023-01-12,2023-01-12 09:37:00-05:00,2023-01-12 12:27:00-05:00,short,11423.199070278679,11533.199070278679,SL,-110.0,2022-12-21,-5230.39
2023-01-13,2023-01-13 09:33:00-05:00,2023-01-13 13:34:00-05:00,short,11430.629767914592,11540.629767914592,SL,-110.0,2023-01-09,-5340.39
2023-01-17,2023-01-17 10:00:00-05:00,2023-01-17 12:05:00-05:00,short,11631.48996521479,11631.48996521479,BE,0.0,2023-01-13,-5340.39
2023-01-18,2023-01-18 09:31:00-05:00,2023-01-18 13:26:00-05:00,short,11716.054661598511,11505.25,TP,210.8,2023-01-12,-5129.59
2023-01-19,2023-01-19 09:31:00-05:00,2023-01-19 15:00:00-05:00,long,11413.349099754087,11426.5,cutoff,13.15,2023-01-17,-5116.44
2023-01-20,2023-01-20 09:33:00-05:00,2023-01-20 11:12:00-05:00,short,11402.930779751518,11512.930779751518,SL,-110.0,2022-12-22,-5226.44
2023-01-23,2023-01-23 09:35:00-05:00,2023-01-23 10:01:00-05:00,short,11716.054661598511,11826.054661598511,SL,-110.0,2023-01-12,-5336.44
2023-01-24,2023-01-24 09:32:00-05:00,2023-01-24 15:00:00-05:00,short,11869.08571788345,11918.25,cutoff,-49.16,2023-01-18,-5385.6
2023-01-25,2023-01-25 09:32:00-05:00,2023-01-25 15:00:00-05:00,long,11693.33517488565,11859.0,cutoff,165.66,2023-01-24,-5219.94
2023-01-26,2023-01-26 09:32:00-05:00,2023-01-26 14:42:00-05:00,short,12061.53982511435,12061.53982511435,BE,0.0,2023-01-24,-5219.94
2023-01-30,2023-01-30 10:25:00-05:00,2023-01-30 11:16:00-05:00,short,12061.53982511435,12061.53982511435,BE,0.0,2023-01-24,-5219.94
2023-01-31,2023-01-31 10:30:00-05:00,2023-01-31 15:00:00-05:00,short,12061.53982511435,12111.5,cutoff,-49.96,2023-01-24,-5269.9
2023-02-06,2023-02-06 10:20:00-05:00,2023-02-06 15:00:00-05:00,long,12500.098735179718,12530.5,cutoff,30.4,2023-02-02,-5239.5
2023-02-07,2023-02-07 09:31:00-05:00,2023-02-07 12:52:00-05:00,long,12500.098735179718,12694.75,TP,194.65,2023-02-02,-5044.85
2023-02-08,2023-02-08 09:36:00-05:00,2023-02-08 15:00:00-05:00,short,12719.843876099361,12566.75,cutoff,153.09,2023-02-06,-4891.76
2023-02-09,2023-02-09 09:36:00-05:00,2023-02-09 14:42:00-05:00,short,12679.456137181118,12477.25,TP,202.21,2023-02-07,-4689.55
2023-02-10,2023-02-10 09:40:00-05:00,2023-02-10 10:45:00-05:00,long,12340.168862818882,12340.168862818882,BE,0.0,2023-02-07,-4689.55
2023-02-10,2023-02-10 10:52:00-05:00,2023-02-10 11:37:00-05:00,long,12320.31182394092,12320.31182394092,BE,0.0,2023-02-03,-4689.55
2023-02-13,2023-02-13 10:53:00-05:00,2023-02-13 14:47:00-05:00,long,12492.511587784786,12492.511587784786,BE,0.0,2023-02-09,-4689.55
2023-02-14,2023-02-14 09:42:00-05:00,2023-02-14 10:38:00-05:00,long,12500.098735179718,12500.098735179718,BE,0.0,2023-02-02,-4689.55
2023-02-14,2023-02-14 10:39:00-05:00,2023-02-14 11:26:00-05:00,long,12492.511587784786,12492.511587784786,BE,0.0,2023-02-09,-4689.55
2023-02-15,2023-02-15 09:42:00-05:00,2023-02-15 11:06:00-05:00,short,12614.653492198106,12614.653492198106,BE,0.0,2023-02-13,-4689.55
2023-02-16,2023-02-16 09:37:00-05:00,2023-02-16 15:00:00-05:00,long,12500.098735179718,12652.25,cutoff,152.15,2023-02-02,-4537.4
2023-02-17,2023-02-17 09:37:00-05:00,2023-02-17 10:22:00-05:00,long,12377.141552724202,12377.141552724202,BE,0.0,2023-02-15,-4537.4
2023-02-17,2023-02-17 10:42:00-05:00,2023-02-17 15:00:00-05:00,long,12344.34054521155,12391.25,cutoff,46.91,2023-02-16,-4490.49
2023-02-20,2023-02-20 10:10:00-05:00,2023-02-20 12:59:00-05:00,long,12377.141552724202,12366.75,cutoff,-10.39,2023-02-15,-4500.88
2023-02-21,2023-02-21 09:39:00-05:00,2023-02-21 11:32:00-05:00,long,12259.764318305486,12149.764318305486,SL,-110.0,2023-02-20,-4610.88
2023-02-22,2023-02-22 09:31:00-05:00,2023-02-22 15:00:00-05:00,long,12122.640010897961,12063.25,cutoff,-59.39,2023-02-10,-4670.27
2023-02-23,2023-02-23 09:38:00-05:00,2023-02-23 11:09:00-05:00,long,12200.096507801894,12090.096507801894,SL,-110.0,2023-02-13,-4780.27
2023-02-24,2023-02-24 09:44:00-05:00,2023-02-24 15:00:00-05:00,long,11986.569081537058,12006.0,cutoff,19.43,2023-02-01,-4760.84
2023-02-27,2023-02-27 09:31:00-05:00,2023-02-27 10:36:00-05:00,long,12122.640010897961,12122.640010897961,BE,0.0,2023-02-10,-4760.84
2023-02-28,2023-02-28 09:34:00-05:00,2023-02-28 15:00:00-05:00,long,12041.934029496524,12124.5,cutoff,82.57,2023-02-21,-4678.27
