level_id,side,touched_at,reason
675,upper,2020-08-20 21:00:00-04:00,sal_active
676,upper,2020-08-21 10:55:00-04:00,sal_active
682,upper,2020-09-01 03:21:00-04:00,sal_active
684,upper,2020-09-01 03:22:00-04:00,sal_active
685,lower,2020-09-03 10:46:00-04:00,position_open
679,lower,2020-09-04 10:15:00-04:00,sal_active
680,lower,2020-09-04 10:17:00-04:00,sal_active
678,lower,2020-09-04 10:35:00-04:00,sal_active
676,lower,2020-09-04 10:42:00-04:00,sal_active
694,upper,2020-09-16 04:08:00-04:00,position_open
693,lower,2020-09-17 09:10:00-04:00,position_open
700,upper,2020-09-28 05:32:00-04:00,position_open
698,upper,2020-09-28 06:17:00-04:00,sal_active
701,upper,2020-09-28 08:06:00-04:00,sal_active
705,upper,2020-10-01 05:42:00-04:00,position_open
690,upper,2020-10-01 08:39:00-04:00,position_open
691,upper,2020-10-01 08:39:00-04:00,position_open
695,upper,2020-10-09 09:35:00-04:00,position_open
710,upper,2020-10-09 10:49:00-04:00,position_open
712,upper,2020-10-11 21:52:00-04:00,sal_active
713,upper,2020-10-12 03:58:00-04:00,sal_active
725,lower,2020-10-28 09:50:00-04:00,position_open
726,lower,2020-10-30 02:10:00-04:00,sal_active
727,upper,2020-11-03 22:00:00-05:00,sal_active
728,upper,2020-11-03 22:00:00-05:00,sal_active
730,upper,2020-11-03 22:00:00-05:00,sal_active
726,upper,2020-11-03 22:10:00-05:00,sal_active
725,upper,2020-11-03 22:15:00-05:00,sal_active
721,upper,2020-11-04 22:39:00-05:00,sal_active
722,upper,2020-11-04 22:39:00-05:00,sal_active
731,upper,2020-11-05 02:26:00-05:00,sal_active
717,upper,2020-11-05 03:23:00-05:00,sal_active
732,upper,2020-11-08 19:58:00-05:00,sal_active
716,upper,2020-11-08 20:09:00-05:00,sal_active
715,upper,2020-11-08 22:53:00-05:00,sal_active
760,upper,2020-12-17 02:21:00-05:00,position_open
755,upper,2020-12-17 03:22:00-05:00,sal_active
763,lower,2020-12-21 05:23:00-05:00,position_open
762,upper,2020-12-29 09:30:00-05:00,sal_active
765,upper,2020-12-29 09:30:00-05:00,sal_active
767,lower,2021-01-06 03:22:00-05:00,position_open
778,upper,2021-01-20 03:44:00-05:00,position_open
780,upper,2021-01-20 09:12:00-05:00,position_open
779,upper,2021-01-20 09:34:00-05:00,position_open
776,upper,2021-01-20 09:35:00-05:00,sal_active
775,upper,2021-01-20 10:10:00-05:00,sal_active
785,upper,2021-01-25 09:34:00-05:00,position_open
785,lower,2021-01-27 09:51:00-05:00,sal_active
795,upper,2021-02-10 02:35:00-05:00,position_open
800,upper,2021-02-14 20:02:00-05:00,sal_active
796,lower,2021-02-18 10:18:00-05:00,position_open
797,lower,2021-02-18 10:23:00-05:00,position_open
798,lower,2021-02-22 02:47:00-05:00,sal_active
803,lower,2021-02-22 02:47:00-05:00,sal_active
795,lower,2021-02-22 03:30:00-05:00,sal_active
804,lower,2021-02-22 10:38:00-05:00,sal_active
792,lower,2021-02-23 04:13:00-05:00,position_open
791,lower,2021-02-23 09:50:00-05:00,sal_active
811,lower,2021-03-03 10:13:00-05:00,sal_active
817,upper,2021-03-10 09:07:00-05:00,position_open
821,upper,2021-03-16 02:55:00-04:00,sal_active
819,upper,2021-03-16 09:32:00-04:00,sal_active
818,upper,2021-03-16 09:56:00-04:00,sal_active
813,upper,2021-03-16 10:52:00-04:00,sal_active
821,lower,2021-03-19 02:01:00-04:00,position_open
818,lower,2021-03-25 10:55:00-04:00,sal_active
833,upper,2021-04-01 04:07:00-04:00,position_open
828,upper,2021-04-01 09:36:00-04:00,sal_active
827,upper,2021-04-01 09:37:00-04:00,sal_active
834,upper,2021-04-05 09:33:00-04:00,position_open
838,upper,2021-04-13 08:45:00-04:00,position_open
840,upper,2021-04-13 09:48:00-04:00,sal_active
841,upper,2021-04-29 08:53:00-04:00,position_open
855,lower,2021-05-03 21:22:00-04:00,sal_active
854,lower,2021-05-04 07:40:00-04:00,sal_active
849,lower,2021-05-04 09:33:00-04:00,sal_active
840,lower,2021-05-04 09:40:00-04:00,sal_active
838,lower,2021-05-04 09:52:00-04:00,sal_active
847,lower,2021-05-04 09:57:00-04:00,sal_active
839,lower,2021-05-04 10:01:00-04:00,sal_active
868,upper,2021-05-21 09:28:00-04:00,sal_active
875,lower,2021-06-03 07:02:00-04:00,position_open
871,lower,2021-06-03 07:46:00-04:00,sal_active
872,lower,2021-06-03 07:46:00-04:00,sal_active
873,lower,2021-06-03 07:46:00-04:00,sal_active
877,lower,2021-06-03 07:46:00-04:00,sal_active
876,lower,2021-06-03 08:04:00-04:00,sal_active
873,upper,2021-06-07 19:24:00-04:00,position_open
879,upper,2021-06-07 21:13:00-04:00,sal_active
871,upper,2021-06-08 07:42:00-04:00,sal_active
880,upper,2021-06-08 07:53:00-04:00,sal_active
